,timestamp,robot_name,status code,status,xy_coordinate,GPS_coordinate
717,1648560551.03241,tb3_1,1,ACTIVE,"(-16.406086699174452, -34.5460342072806)","(103.81492427826939, 1.315529204455734)"
718,1648560551.23141,tb3_1,1,ACTIVE,"(-16.397042091644728, -34.54214416815064)","(103.81492509188357, 1.3155295542953456)"
719,1648560551.400648,tb3_1,3,SUCCEEDED,"(-16.394894273100558, -34.541332872730976)","(103.81492528509214, 1.3155296272569068)"
720,1648560551.407307,tb3_1,1,ACTIVE,"(-16.395143999807594, -34.54142431128838)","(103.8149252626278, 1.315529619033638)"
721,1648560551.447763,tb3_1,1,ACTIVE,"(-16.394858479369724, -34.5413189952467)","(103.814925288312, 1.315529628504939)"
722,1648560551.666244,tb3_1,1,ACTIVE,"(-16.392441152306173, -34.54038742802585)","(103.8149255057644, 1.315529712282802)"
723,1648560551.874561,tb3_1,1,ACTIVE,"(-16.380454301762036, -34.53562619176421)","(103.8149265840502, 1.315530140471099)"
724,1648560552.092989,tb3_1,1,ACTIVE,"(-16.3386746480476, -34.51708525793163)","(103.81493034236904, 1.3155318078972011)"
725,1648560552.295293,tb3_1,1,ACTIVE,"(-16.296692018715355, -34.49701899257212)","(103.81493411894662, 1.3155336124994748)"
726,1648560552.509334,tb3_1,1,ACTIVE,"(-16.252089079107677, -34.47568183308787)","(103.81493813123612, 1.315535531395974)"
727,1648560552.71686,tb3_1,1,ACTIVE,"(-16.198104231036222, -34.450715278190074)","(103.81494298748197, 1.3155377766918703)"
728,1648560552.923228,tb3_1,1,ACTIVE,"(-16.16622726485282, -34.4365819842539)","(103.81494585499743, 1.3155390477294093)"
729,1648560553.129676,tb3_1,1,ACTIVE,"(-16.11238115804549, -34.41391077936819)","(103.81495069876286, 1.3155410865997892)"
730,1648560553.32467,tb3_1,1,ACTIVE,"(-16.065648357184408, -34.39569596570096)","(103.81495490264578, 1.3155427246974638)"
731,1648560553.543336,tb3_1,1,ACTIVE,"(-16.0185106636165, -34.37794421601533)","(103.81495914295117, 1.315544321150867)"
732,1648560553.764773,tb3_1,1,ACTIVE,"(-15.963304765855938, -34.35682471085396)","(103.8149641090377, 1.3155462204737798)"
